Column1,Customer Name,Date,Reviews,คอลัมน์1,หัวข้อ
581,มานะ  คติธรรมบัญชา, - 8/17/2021 9:02:21,ติดตามของไม่ได้พนักงานรับเรื่องบอกจะติดตามก็ยังไม่ได้ของส่งของตั้งแต่31/07/2564โทรติดตามเองบอกหากล่องของพัสดุที่ส่งไปไม่เจอโทรถามทุกวันคำตอบเดิมคือเดี่ยวติดตามให้อยู่ ใช้บริการบ่อยครั้งแต่ไม่เคยเป็นแบบครั้งนี้เลยแย่มากผิดหวังมากสั่งของหลายอย่างส่งหลายบริษัทไม่เคยมีปัญหาหรือเป็นที่สาขารับของไปจ่ายค่ะทำแบบนี้บริการแย่มากค่ะ,neg,การบริการ
594,จากนครราชสีมา, - 8/14/2021 20:07:37,โทรตามเบอร์แล้วไม่มีคนรับ ติดต่อไม่ได้ ก็ไม่ยอมไปส่งตามบ้านเลขที่เลยค่ะ ต้องรอให้ลูกค้าตามเอง ก็ยังไม่ยอมไปส่งอีก ครั้งต่อไปจะไม่ใช้บริการค่ะ,neg,การบริการ
595,น, - 8/14/2021 19:30:59,ห่วยแตก,neg,การบริการ
609,มี่, - 8/13/2021 9:22:15,ส่งช้า ไม่ตอบ โทรไม่รับ มีปัญหาตลอด แย่มาก,neg,การบริการ
613,ยุท, - 8/12/2021 11:54:21,"ไม่มีคนรับสายเลยคอเซ็นเตอร์ก็ใช้ไม่ได้
ส่งของก็ช้า",neg,การบริการ
617,สุชีลา, - 8/11/2021 22:37:34,ส่งต้นทางจ.นครศรีฯตั้งแต่27กค64จนป่านนี้11สค.64ปลายทางจ.นนทบุรี..ยังไม่ได้รับเลย.โทรก็ไม่ติด.สอบถามไปทางเมล์ก็เงียบ.คืออะไรอ่ะ.,neg,การบริการ
618,คอน, - 8/11/2021 16:02:16,ห่วยจริง จะดองของทำไม บอกกำลังนำจ่ายพัสดุตั้งแต่ 9 โมง จะห้าโมงเย็นยังไม่ได้ของ เบอร์โทรติดต่อก็ไม่มีคนคุย ห่วย,neg,การบริการ
619,สมพิศ บัณฑรรุ่งโรจน์, - 8/11/2021 13:06:42,โทรไป call center ไม่เคยติดต่อได้เลย โทรจนเบื่อ อยากทราบว่าพัสดุหมายเลขนี้จะมาส่งให้ได้เมื่อไหร่ค่ะส่งช้ามากต้นไม้จะตายน่ะค่ะ,neg,การบริการ
622,ตูน, - 8/11/2021 10:40:28,ไม่สามารถติดต่อสอบถามอะไรได้เลย,neg,การบริการ
637,A, - 8/9/2021 8:30:09,ติดต่อยาก สินค้ารอนานมากๆค่ะ แล้วจะเป็น express ได้อย่างไรค่ะ,neg,การบริการ
640,นพดล, - 8/6/2021 16:27:44,แย่มาก,neg,การบริการ
643,สุวรรณา, - 8/6/2021 10:55:55,พัสดุมาไม่สดวกมาส่งทำไมไม่โทรมาแจ้งว่าหั้ยไปรับที่สาขาแต่แจ้งว่าไม่รับสายไม่อยุ่บ้านแล้วตีของกลับทำแบบนี้ได้หรอคะปรัยปรุงหน่อยนะคะไม่สดวกมาส่งก้อแจ้งสิคะว่าหั้ยรับที่ไหน,neg,การบริการ
651,น้อง, - 8/5/2021 10:41:08,เข้าใจนะว่าพนังานน่าจะติดโควิท แต่ ไม่มีทางออกอื่นให้ลูกค้าเลยหรอ ห่วยมากขนส่งนี้ ไม่เข้าใจพวกร้านค้าทำไมยังมานะที่จะใช้ขนส่งนี้อยู่,neg,การบริการ
653,สุภาภรณ์, - 8/5/2021 8:54:04,พัสดุตกค้างตั้ง4-5วันไม่มีการโทรเเจ้งลูกค้าเลย โทรไปก้อไม่มีการรับสาย,neg,การบริการ
655,ศิริพร เอี่ยมสำอางค์, - 8/5/2021 7:17:41,สินค้าตกค้าง แต่เบอร์โทรของส่วนกลาง/สนง.ใหญ่ โทรไปไม่มีคนรับสาย เค้าใจว่ามีปัญหาเรื่องคนส่งคิดโควิด  แต่ สนง.ใหญ่/เจ้าของควรใส่ใจลูกค้าซักหน่อย เพราะลูกค้ารอสินค้าอยู่,neg,การบริการ
660,เจ้าของ, - 8/4/2021 16:17:49,ติดต่อไม่เลยอีก ห่วยแตก ปิดบริการไปเลย,neg,การบริการ
662,มิ้ลค์ อภิวรรณ, - 8/4/2021 14:58:10,ส่งช้ามาก ข้อมูลก็ไม่อัปเดต ติดต่อก็ไม่ได้,neg,การบริการ
668,กานตนา, - 8/4/2021 9:35:06,พัสดุตกค้างหลายวันแล้ว เบอร์ติดต่อก็ไม่มี โทรคอลเซ็นเตอร์ก็ไม่รับ แชทเข้าเพจอ่านแล้วก็ไม่ตอบ..ห่วยมาก,neg,การบริการ
678,สุรีย์ กันโต, - 8/3/2021 14:30:36,ตามของเป็นอาทิตย์ ยังไม่ส่ง ติดต่อไม่ได้ เลย เบอร์กลางก็โทรไม่ติด,neg,การบริการ
682,เพ็ญนภา ผาสุวรรณ์, - 8/2/2021 21:44:02,พัสดุตกค้างหลายวันแล้ว ติดต่อเจ้าหน้าที่ไม่ได้เลยซักคน,neg,การบริการ
685,น, - 8/2/2021 19:47:04,บริษัท?ควรเร่งส่งของไม่ใช่ใช่รถพนักมาส่ง?  ของตกหล่นผ่านมาหลายวีนยังไม่มาส่งโทรไปไท่ติดไม่รับสายแย่,neg,การบริการ
690,พนักงานร้านรองเท้า, - 8/2/2021 15:56:50,"ติดต่อสาขายากมากค่ะ, พัสดุตกค้างนานมาก",neg,การบริการ
